Wed Mar 22 20:00:22 2017,http://www.bbc.com/,Notre,0
Wed Mar 22 20:00:22 2017,http://www.bbc.com/,Dame,0
Wed Mar 22 20:00:22 2017,http://www.bbc.com/,South,0
Wed Mar 22 20:00:22 2017,http://www.bbc.com/,Bend,0
Wed Mar 22 20:00:22 2017,http://www.bbc.com/,Computer,0
Wed Mar 22 20:00:22 2017,http://www.bbc.com/,Science,2
Wed Mar 22 20:00:22 2017,http://www.bbc.com/,Department,0
Wed Mar 22 20:00:22 2017,http://www.bbc.com/,Plofchan,0
Wed Mar 22 20:00:22 2017,http://www.bbc.com/,Conway,1
Wed Mar 22 20:00:22 2017,http://www.bbc.com/,Leah,0
Wed Mar 22 20:00:22 2017,http://www.bbc.com/,Brynna,0
Wed Mar 22 20:00:22 2017,http://www.bbc.com/,Genius,0
Wed Mar 22 20:00:22 2017,http://www.bbc.com/,the,141
Wed Mar 22 20:00:22 2017,http://www.bbc.com/,news,199
